SL.No,Date,Category,Sub category,Ward Name/No,Zone Name,Grievance Mode,Status
4895,01-09-2021,Health Dept,Unhygienic premises in Hotel etc,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
4896,01-09-2021,Health Dept,Air/Noise pollution,BTM Layout/176,South,Nammabengaluru App,CLOSED
4897,01-09-2021,Health Dept,Air/Noise pollution,Jnanabharathi Ward/129,RRNagar,Nammabengaluru App,CLOSED
4898,01-09-2021,Health Dept,Spraying,HBR Layout/24,East,Nammabengaluru App,CLOSED
4899,01-09-2021,Health Dept,Increase in mosquito density,Madiwala/172,South,Nammabengaluru App,CLOSED
4900,01-09-2021,Health Dept,Spraying,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
4901,01-09-2021,Health Dept,Increase in mosquito density,Madiwala/172,South,Nammabengaluru App,CLOSED
4902,01-09-2021,Health Dept,Increase in mosquito density,Madiwala/172,South,Nammabengaluru App,CLOSED
4903,01-09-2021,Health Dept,Air/Noise pollution,Dodda Bidarkallu/40,RRNagar,Nammabengaluru App,CLOSED
4904,01-09-2021,Health Dept,Unhygienic premises in Hotel etc,Radhakrishna Temple/18,East,Nammabengaluru App,CLOSED
4905,01-09-2021,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
4906,02-09-2021,Health Dept,Fogging,Hombegowda Nagar/145,South,Nammabengaluru App,REJECTED
4907,02-09-2021,Health Dept,Air/Noise pollution,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
4908,02-09-2021,Health Dept,Increase in mosquito density,Someshwara/3,Yelahanka,Sahaaya Helpline,CLOSED
4909,02-09-2021,Health Dept,Increase in mosquito density,Bilekahalli/188,Bommanahalli,Sahaaya Helpline,CLOSED
4910,02-09-2021,Health Dept,Spraying,HBR Layout/24,East,Nammabengaluru App,CLOSED
4911,02-09-2021,Health Dept,Air/Noise pollution,Ejipura/148,South,Nammabengaluru App,CLOSED
4912,02-09-2021,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
4913,02-09-2021,Health Dept,Fogging,Marathalli/86,Mahadevapura,Sahaaya Helpline,CLOSED
4914,02-09-2021,Health Dept,Spraying,Hegganahalli/71,Dasarahalli,Sahaaya Helpline,RESOLVED
4915,02-09-2021,Health Dept,Fogging,Prakash Nagar/98,West,Sahaaya Helpline,CLOSED
4916,03-09-2021,Health Dept,Increase in mosquito density,Banaswadi/27,East,Nammabengaluru App,CLOSED
4917,03-09-2021,Health Dept,Increase in mosquito density,Vasanthapura/197,Bommanahalli,Nammabengaluru App,CLOSED
4918,03-09-2021,Health Dept,Air/Noise pollution,Koramangala/151,South,Sahaaya Helpline,CLOSED
4919,04-09-2021,Health Dept,Increase in mosquito density,Varthur/149,Mahadevapura,Nammabengaluru App,CLOSED
4920,04-09-2021,Health Dept,Air/Noise pollution,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
4921,04-09-2021,Health Dept,Increase in mosquito density,Chikpete/109,West,Sahaaya Helpline,CLOSED
4922,04-09-2021,Health Dept,Fogging,Subedarapalya/45,West,Sahaaya Helpline,CLOSED
4923,04-09-2021,Health Dept,Increase in mosquito density,Chikpete/109,West,Sahaaya Helpline,CLOSED
4924,04-09-2021,Health Dept,Fogging,Kengeri/159,RRNagar,Sahaaya Helpline,CLOSED
4925,04-09-2021,Health Dept,Spraying,Rajamahal/64,West,Nammabengaluru App,CLOSED
4926,05-09-2021,Health Dept,Increase in mosquito density,Visvesvarapuram/143,South,Nammabengaluru App,RESOLVED
4927,05-09-2021,Health Dept,Spraying,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
4928,06-09-2021,Health Dept,Air/Noise pollution,Garudacharpalya/82,Mahadevapura,Nammabengaluru App,REJECTED
4929,06-09-2021,Health Dept,Increase in mosquito density,Basavanapura/53,Mahadevapura,Nammabengaluru App,CLOSED
4930,06-09-2021,Health Dept,Air/Noise pollution,Nagavara/23,East,Nammabengaluru App,CLOSED
4931,06-09-2021,Health Dept,Unavailability of staff,Basaveshwara Nagar/100,West,Nammabengaluru App,CLOSED
4932,06-09-2021,Health Dept,Air/Noise pollution,Gandhi Nagar/94,West,Sahaaya Helpline,CLOSED
4933,06-09-2021,Health Dept,Spraying,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
4934,06-09-2021,Health Dept,Increase in mosquito density,Anjanapur/196,Bommanahalli,Nammabengaluru App,CLOSED
4935,07-09-2021,Health Dept,Air/Noise pollution,Vasanthapura/197,Bommanahalli,Nammabengaluru App,CLOSED
4936,07-09-2021,Health Dept,Air/Noise pollution,Giri Nagar/162,South,Nammabengaluru App,CLOSED
4937,07-09-2021,Health Dept,Increase in mosquito density,Someshwara/3,Yelahanka,Nammabengaluru App,CLOSED
4938,07-09-2021,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
4939,07-09-2021,Health Dept,Spraying,Chokkasandra/39,Dasarahalli,Nammabengaluru App,RESOLVED
4940,07-09-2021,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
4941,08-09-2021,Health Dept,Fogging,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
4942,08-09-2021,Health Dept,Increase in mosquito density,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
4943,08-09-2021,Health Dept,Air/Noise pollution,Herohalli/72,RRNagar,Sahaaya Helpline,CLOSED
4944,08-09-2021,Health Dept,Increase in mosquito density,Karisandra/166,South,Sahaaya Helpline,CLOSED
4945,08-09-2021,Health Dept,Air/Noise pollution,Sri Rammandira/108,West,Nammabengaluru App,CLOSED
4946,09-09-2021,Health Dept,Unhygienic premises in Hotel etc,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
4947,09-09-2021,Health Dept,Delay in issue of Trade licence,Shanthala Nagar/111,East,Nammabengaluru App,CLOSED
4948,09-09-2021,Health Dept,Increase in mosquito density,Varthur/149,Mahadevapura,Sahaaya Helpline,CLOSED
4949,09-09-2021,Health Dept,Increase in mosquito density,Hagadooru/84,Mahadevapura,Sahaaya Helpline,CLOSED
4950,09-09-2021,Health Dept,Air/Noise pollution,Dattathreya Temple/77,West,Nammabengaluru App,CLOSED
4951,10-09-2021,Health Dept,Increase in mosquito density,Nagarabhavi/128,West,Nammabengaluru App,CLOSED
4952,10-09-2021,Health Dept,Air/Noise pollution,Nagavara/23,East,Nammabengaluru App,CLOSED
4953,10-09-2021,Health Dept,Spraying,Ramaswamy Palya/62,East,Nammabengaluru App,CLOSED
4954,10-09-2021,Health Dept,Increase in mosquito density,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
4955,10-09-2021,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
4956,11-09-2021,Health Dept,Increase in mosquito density,BTM Layout/176,South,Nammabengaluru App,CLOSED
4957,12-09-2021,Health Dept,Spraying,Jakkur/5,Yelahanka,Nammabengaluru App,REJECTED
4958,12-09-2021,Health Dept,Air/Noise pollution,Jakkur/5,Yelahanka,Nammabengaluru App,CLOSED
4959,12-09-2021,Health Dept,Increase in mosquito density,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
4960,12-09-2021,Health Dept,Fogging,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
4961,12-09-2021,Health Dept,Air/Noise pollution,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
4962,12-09-2021,Health Dept,Air/Noise pollution,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
4963,12-09-2021,Health Dept,Increase in mosquito density,Bapuji Nagar/134,South,Nammabengaluru App,CLOSED
4964,12-09-2021,Health Dept,Air/Noise pollution,Maruthi Mandira Ward/126,West,Nammabengaluru App,CLOSED
4965,12-09-2021,Health Dept,Increase in mosquito density,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
4966,12-09-2021,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
4967,12-09-2021,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
4968,12-09-2021,Health Dept,Air/Noise pollution,Giri Nagar/162,South,Nammabengaluru App,REJECTED
4969,12-09-2021,Health Dept,Air/Noise pollution,Basavanapura/53,Mahadevapura,Nammabengaluru App,CLOSED
4970,12-09-2021,Health Dept,Increase in mosquito density,Ramamurthy Nagar/26,Mahadevapura,Nammabengaluru App,CLOSED
4971,13-09-2021,Health Dept,Increase in mosquito density,T-Dasarahalli/15,Dasarahalli,Nammabengaluru App,RESOLVED
4972,13-09-2021,Health Dept,Delay in issue of Trade licence,Hoysala Nagar/80,East,Nammabengaluru App,CLOSED
4973,13-09-2021,Health Dept,Air/Noise pollution,Basavanapura/53,Mahadevapura,Nammabengaluru App,CLOSED
4974,13-09-2021,Health Dept,Air/Noise pollution,Sri Nagar/156,South,Sahaaya Helpline,CLOSED
4975,13-09-2021,Health Dept,Delay in issue of Trade licence,Marenahalli/125,West,Nammabengaluru App,CLOSED
4976,13-09-2021,Health Dept,Increase in mosquito density,Azad Nagar/141,West,Nammabengaluru App,CLOSED
4977,13-09-2021,Health Dept,Unhygienic premises in Hotel etc,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
4978,13-09-2021,Health Dept,Increase in mosquito density,Bilekahalli/188,Bommanahalli,Sahaaya Helpline,CLOSED
4979,13-09-2021,Health Dept,Fogging,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
4980,13-09-2021,Health Dept,Increase in mosquito density,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
4981,14-09-2021,Health Dept,Increase in mosquito density,Kammanahalli/28,East,Nammabengaluru App,CLOSED
4982,14-09-2021,Health Dept,Increase in mosquito density,Arakere/193,Bommanahalli,Sahaaya Helpline,CLOSED
4983,14-09-2021,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
4984,14-09-2021,Health Dept,Unhygienic premises in Hotel etc,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
4985,14-09-2021,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
4986,14-09-2021,Health Dept,Air/Noise pollution,Konanakunte/195,Bommanahalli,Nammabengaluru App,CLOSED
4987,14-09-2021,Health Dept,Unhygienic premises in Hotel etc,Vannarpet/115,East,Nammabengaluru App,CLOSED
4988,14-09-2021,Health Dept,Increase in mosquito density,Begur/192,Bommanahalli,Nammabengaluru App,CLOSED
4989,15-09-2021,Health Dept,Fogging,Banaswadi/27,East,Sahaaya Helpline,CLOSED
4990,15-09-2021,Health Dept,Increase in mosquito density,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
4991,15-09-2021,Health Dept,Increase in mosquito density,Jnanabharathi Ward/129,RRNagar,Sahaaya Helpline,CLOSED
4992,15-09-2021,Health Dept,Increase in mosquito density,Garudacharpalya/82,Mahadevapura,Sahaaya Helpline,REJECTED
4993,15-09-2021,Health Dept,Increase in mosquito density,Sudduguntepalya/152,South,Nammabengaluru App,CLOSED
4994,16-09-2021,Health Dept,Air/Noise pollution,T-Dasarahalli/15,Dasarahalli,Nammabengaluru App,RESOLVED
4995,16-09-2021,Health Dept,Air/Noise pollution,Singasandra/191,Bommanahalli,Nammabengaluru App,CLOSED
4996,16-09-2021,Health Dept,Fogging,Bagalagunte/14,Dasarahalli,Sahaaya Helpline,RESOLVED
4997,16-09-2021,Health Dept,Spraying,Karisandra/166,South,Sahaaya Helpline,CLOSED
4998,16-09-2021,Health Dept,Fogging,Uttarahalli/184,Bommanahalli,Sahaaya Helpline,CLOSED
4999,16-09-2021,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
5000,16-09-2021,Health Dept,Air/Noise pollution,Bilekahalli/188,Bommanahalli,Nammabengaluru App,CLOSED
5001,17-09-2021,Health Dept,Increase in mosquito density,Banaswadi/27,East,Nammabengaluru App,CLOSED
5002,17-09-2021,Health Dept,Increase in mosquito density,Jakkur/5,Yelahanka,Nammabengaluru App,REJECTED
5003,17-09-2021,Health Dept,Fogging,Chokkasandra/39,Dasarahalli,Nammabengaluru App,RESOLVED
5004,17-09-2021,Health Dept,Fogging,Jakkur/5,Yelahanka,Nammabengaluru App,CLOSED
5005,17-09-2021,Health Dept,Fogging,Jakkur/5,Yelahanka,Nammabengaluru App,REJECTED
5006,17-09-2021,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Sahaaya Helpline,CLOSED
5007,17-09-2021,Health Dept,Fogging,Jakkur/5,Yelahanka,Nammabengaluru App,REJECTED
5008,17-09-2021,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
5009,17-09-2021,Health Dept,Spraying,Someshwara/3,Yelahanka,Sahaaya Helpline,CLOSED
5010,17-09-2021,Health Dept,Increase in mosquito density,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
5011,17-09-2021,Health Dept,Increase in mosquito density,Yelahanka old Satellite Town/4,Yelahanka,Nammabengaluru App,CLOSED
5012,17-09-2021,Health Dept,Fogging,Jakkur/5,Yelahanka,Nammabengaluru App,REJECTED
5013,17-09-2021,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
5014,17-09-2021,Health Dept,Unhygienic premises in Hotel etc,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
5015,18-09-2021,Health Dept,Increase in mosquito density,Prakash Nagar/98,West,Sahaaya Helpline,CLOSED
5016,18-09-2021,Health Dept,Increase in mosquito density,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
5017,18-09-2021,Health Dept,Fogging,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
5018,18-09-2021,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
5019,18-09-2021,Health Dept,Unhygienic premises in Hotel etc,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
5020,18-09-2021,Health Dept,Unhygienic premises in Hotel etc,Gayathri Nagar/76,West,Nammabengaluru App,CLOSED
5021,19-09-2021,Health Dept,Increase in mosquito density,Shanthi Nagar/117,East,Nammabengaluru App,CLOSED
5022,19-09-2021,Health Dept,Increase in mosquito density,Someshwara/3,Yelahanka,Sahaaya Helpline,CLOSED
5023,19-09-2021,Health Dept,Spraying,Bilekahalli/188,Bommanahalli,Sahaaya Helpline,CLOSED
5024,19-09-2021,Health Dept,Spraying,HBR Layout/24,East,Nammabengaluru App,CLOSED
5025,19-09-2021,Health Dept,Spraying,Ramamurthy Nagar/26,Mahadevapura,Sahaaya Helpline,CLOSED
5026,19-09-2021,Health Dept,Air/Noise pollution,Vishwanathnagenahalli/22,East,Sahaaya Helpline,CLOSED
5027,19-09-2021,Health Dept,Increase in mosquito density,Gandhi Nagar/94,West,Sahaaya Helpline,CLOSED
5028,19-09-2021,Health Dept,Air/Noise pollution,Kodigehalli/8,Yelahanka,Sahaaya Helpline,CLOSED
5029,19-09-2021,Health Dept,Spraying,Sudduguntepalya/152,South,Sahaaya Helpline,CLOSED
5030,19-09-2021,Health Dept,Fogging,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
5031,19-09-2021,Health Dept,Fogging,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
5032,19-09-2021,Health Dept,Increase in mosquito density,Ramamurthy Nagar/26,Mahadevapura,Nammabengaluru App,CLOSED
5033,19-09-2021,Health Dept,Fogging,Ramamurthy Nagar/26,Mahadevapura,Nammabengaluru App,CLOSED
5034,19-09-2021,Health Dept,Spraying,Kadugodi/83,Mahadevapura,Sahaaya Helpline,CLOSED
5035,19-09-2021,Health Dept,Air/Noise pollution,Hoodi/54,Mahadevapura,Sahaaya Helpline,CLOSED
5036,19-09-2021,Health Dept,Increase in mosquito density,Ullalu/130,RRNagar,Sahaaya Helpline,CLOSED
5037,19-09-2021,Health Dept,Spraying,Newthippasandra/58,East,Sahaaya Helpline,CLOSED
5038,19-09-2021,Health Dept,Air/Noise pollution,Bilekahalli/188,Bommanahalli,Nammabengaluru App,CLOSED
5039,20-09-2021,Health Dept,Increase in mosquito density,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
5040,20-09-2021,Health Dept,Increase in mosquito density,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
5041,20-09-2021,Health Dept,Increase in mosquito density,Ganga Nagar/20,East,Nammabengaluru App,CLOSED
5042,20-09-2021,Health Dept,Spraying,Dodda Bidarkallu/40,RRNagar,Nammabengaluru App,CLOSED
5043,20-09-2021,Health Dept,Increase in mosquito density,Singasandra/191,Bommanahalli,Nammabengaluru App,CLOSED
5044,20-09-2021,Health Dept,Air/Noise pollution,Vidyapeetha/164,South,Sahaaya Helpline,REJECTED
5045,20-09-2021,Health Dept,Increase in mosquito density,Chowdeshwari Ward/2,Yelahanka,Sahaaya Helpline,CLOSED
5046,20-09-2021,Health Dept,Increase in mosquito density,Hanumantha Nagar/155,South,Sahaaya Helpline,CLOSED
5047,20-09-2021,Health Dept,Air/Noise pollution,Jnanabharathi Ward/129,RRNagar,Sahaaya Helpline,CLOSED
5048,20-09-2021,Health Dept,Increase in mosquito density,Ramamurthy Nagar/26,Mahadevapura,Sahaaya Helpline,CLOSED
5049,20-09-2021,Health Dept,Increase in mosquito density,Subramanya Nagar/66,West,Sahaaya Helpline,CLOSED
5050,20-09-2021,Health Dept,Unhygienic premises in Hotel etc,Arakere/193,Bommanahalli,Nammabengaluru App,CLOSED
5051,20-09-2021,Health Dept,Fogging,Vasanth Nagar/93,East,BBMP-UDP,CLOSED
5052,20-09-2021,Health Dept,Increase in mosquito density,Ejipura/148,South,Sahaaya Helpline,CLOSED
5053,20-09-2021,Health Dept,Fogging,Kacharakanahalli/29,East,Nammabengaluru App,CLOSED
5054,20-09-2021,Health Dept,Air/Noise pollution,Gayathri Nagar/76,West,Sahaaya Helpline,REJECTED
5055,21-09-2021,Health Dept,Air/Noise pollution,Hagadooru/84,Mahadevapura,Sahaaya Helpline,CLOSED
5056,21-09-2021,Health Dept,Air/Noise pollution,Vasanthapura/197,Bommanahalli,Nammabengaluru App,CLOSED
5057,21-09-2021,Health Dept,Increase in mosquito density,Rajarajeshwari Nagar/160,RRNagar,Sahaaya Helpline,CLOSED
5058,21-09-2021,Health Dept,Increase in mosquito density,Sanjay Nagar/19,East,Nammabengaluru App,CLOSED
5059,21-09-2021,Health Dept,Fogging,Maruthi Mandira Ward/126,West,Sahaaya Helpline,CLOSED
5060,21-09-2021,Health Dept,Unhygienic premises in Hotel etc,Newthippasandra/58,East,Nammabengaluru App,REJECTED
5061,21-09-2021,Health Dept,Increase in mosquito density,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
5062,21-09-2021,Health Dept,Increase in mosquito density,Kadugodi/83,Mahadevapura,Nammabengaluru App,CLOSED
5063,21-09-2021,Health Dept,Unhygienic premises in Hotel etc,Gandhi Nagar/94,West,Sahaaya Helpline,CLOSED
5064,22-09-2021,Health Dept,Unhygienic premises in Hotel etc,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
5065,22-09-2021,Health Dept,Air/Noise pollution,Mathikere/36,West,Nammabengaluru App,REJECTED
5066,22-09-2021,Health Dept,Air/Noise pollution,Malleshwaram/65,West,Sahaaya Helpline,CLOSED
5067,22-09-2021,Health Dept,Increase in mosquito density,Padarayanapura/135,West,Sahaaya Helpline,CLOSED
5068,22-09-2021,Health Dept,Air/Noise pollution,Kodigehalli/8,Yelahanka,Nammabengaluru App,CLOSED
5069,22-09-2021,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Sahaaya Helpline,CLOSED
5070,22-09-2021,Health Dept,Increase in mosquito density,Vasanthapura/197,Bommanahalli,Sahaaya Helpline,CLOSED
5071,22-09-2021,Health Dept,Air/Noise pollution,Kumaraswamy Layout/181,South,Nammabengaluru App,CLOSED
5072,23-09-2021,Health Dept,Air/Noise pollution,Jnanabharathi Ward/129,RRNagar,Sahaaya Helpline,CLOSED
5073,23-09-2021,Health Dept,Unhygienic premises in Hotel etc,Sarakki/178,South,Nammabengaluru App,CLOSED
5074,23-09-2021,Health Dept,Increase in mosquito density,Basavanapura/53,Mahadevapura,Sahaaya Helpline,CLOSED
5075,23-09-2021,Health Dept,Increase in mosquito density,Jeevanbhima Nagar/88,East,Nammabengaluru App,CLOSED
5076,23-09-2021,Health Dept,Air/Noise pollution,Uttarahalli/184,Bommanahalli,Nammabengaluru App,REJECTED
5077,23-09-2021,Health Dept,Increase in mosquito density,Vasanthapura/197,Bommanahalli,Nammabengaluru App,CLOSED
5078,23-09-2021,Health Dept,Increase in mosquito density,Domlur/112,East,Sahaaya Helpline,CLOSED
5079,23-09-2021,Health Dept,Increase in mosquito density,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
5080,23-09-2021,Health Dept,Increase in mosquito density,Dodda Bidarkallu/40,RRNagar,Sahaaya Helpline,CLOSED
5081,23-09-2021,Health Dept,Increase in mosquito density,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
5082,23-09-2021,Health Dept,Air/Noise pollution,Jogupalya/89,East,Nammabengaluru App,CLOSED
5083,23-09-2021,Health Dept,Increase in mosquito density,Begur/192,Bommanahalli,Nammabengaluru App,REJECTED
5084,23-09-2021,Health Dept,Non availability of vaccines,Byatarayanapura/7,Yelahanka,Nammabengaluru App,REJECTED
5085,24-09-2021,Health Dept,Spraying,Hoodi/54,Mahadevapura,Sahaaya Helpline,CLOSED
5086,24-09-2021,Health Dept,Air/Noise pollution,Sri Nagar/156,South,Nammabengaluru App,REJECTED
5087,24-09-2021,Health Dept,Spraying,HSR Layout/174,Bommanahalli,Sahaaya Helpline,CLOSED
5088,24-09-2021,Health Dept,Increase in mosquito density,Vignana Nagar/81,Mahadevapura,Sahaaya Helpline,CLOSED
5089,24-09-2021,Health Dept,Increase in mosquito density,Uttarahalli/184,Bommanahalli,Nammabengaluru App,CLOSED
5090,24-09-2021,Health Dept,Fogging,Benniganahalli/50,East,Sahaaya Helpline,CLOSED
5091,24-09-2021,Health Dept,Air/Noise pollution,Jnanabharathi Ward/129,RRNagar,Sahaaya Helpline,CLOSED
5092,24-09-2021,Health Dept,Increase in mosquito density,Aramane Nagar/35,West,Nammabengaluru App,CLOSED
5093,24-09-2021,Health Dept,Increase in mosquito density,Yelahanka old Satellite Town/4,Yelahanka,Sahaaya Helpline,CLOSED
5094,24-09-2021,Health Dept,Non availability of vaccines,Bommanahalli/175,Bommanahalli,Nammabengaluru App,CLOSED
5095,24-09-2021,Health Dept,Air/Noise pollution,Jnanabharathi Ward/129,RRNagar,Whatsapp,CLOSED
5096,24-09-2021,Health Dept,Fogging,Dharmarayaswamy Temple Ward/119,South,Sahaaya Helpline,RESOLVED
5097,25-09-2021,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Sahaaya Helpline,CLOSED
5098,25-09-2021,Health Dept,Spraying,Chamrajpet/140,West,Sahaaya Helpline,CLOSED
5099,25-09-2021,Health Dept,Spraying,Horamavu/25,Mahadevapura,Sahaaya Helpline,CLOSED
5100,25-09-2021,Health Dept,Increase in mosquito density,Puttenahalli/187,Bommanahalli,Nammabengaluru App,CLOSED
5101,25-09-2021,Health Dept,Fogging,Puttenahalli/187,Bommanahalli,Nammabengaluru App,CLOSED
5102,25-09-2021,Health Dept,Increase in mosquito density,K.R.Market/139,West,Whatsapp,CLOSED
5103,25-09-2021,Health Dept,Increase in mosquito density,K.R.Market/139,West,Whatsapp,CLOSED
5104,25-09-2021,Health Dept,Increase in mosquito density,HSR Layout/174,Bommanahalli,Sahaaya Helpline,CLOSED
5105,25-09-2021,Health Dept,Increase in mosquito density,Hanumantha Nagar/155,South,Sahaaya Helpline,CLOSED
5106,25-09-2021,Health Dept,Spraying,Vasanth Nagar/93,East,Sahaaya Helpline,CLOSED
5107,25-09-2021,Health Dept,Spraying,Vasanth Nagar/93,East,Sahaaya Helpline,CLOSED
5108,25-09-2021,Health Dept,Increase in mosquito density,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
5109,25-09-2021,Health Dept,Air/Noise pollution,Bilekahalli/188,Bommanahalli,Nammabengaluru App,CLOSED
5110,26-09-2021,Health Dept,Increase in mosquito density,Hemmigepura/198,RRNagar,Nammabengaluru App,CLOSED
5111,26-09-2021,Health Dept,Increase in mosquito density,Ramamurthy Nagar/26,Mahadevapura,Nammabengaluru App,CLOSED
5112,26-09-2021,Health Dept,Increase in mosquito density,Ganeshmandira Ward/165,South,Sahaaya Helpline,CLOSED
5113,26-09-2021,Health Dept,Increase in mosquito density,Begur/192,Bommanahalli,Nammabengaluru App,CLOSED
5114,26-09-2021,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
5115,26-09-2021,Health Dept,Increase in mosquito density,Begur/192,Bommanahalli,Nammabengaluru App,CLOSED
5116,26-09-2021,Health Dept,Air/Noise pollution,Bilekahalli/188,Bommanahalli,Nammabengaluru App,CLOSED
5117,26-09-2021,Health Dept,Air/Noise pollution,Varthur/149,Mahadevapura,Nammabengaluru App,CLOSED
5118,27-09-2021,Health Dept,Increase in mosquito density,Vidyaranyapura/9,Yelahanka,Nammabengaluru App,REJECTED
5119,27-09-2021,Health Dept,Fogging,Konanakunte/195,Bommanahalli,Nammabengaluru App,CLOSED
5120,27-09-2021,Health Dept,Increase in mosquito density,Agaram/114,East,Sahaaya Helpline,CLOSED
5121,27-09-2021,Health Dept,Increase in mosquito density,Begur/192,Bommanahalli,Sahaaya Helpline,CLOSED
5122,27-09-2021,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
5123,27-09-2021,Health Dept,Increase in mosquito density,Rajaji Nagar/99,West,Sahaaya Helpline,CLOSED
5124,27-09-2021,Health Dept,Increase in mosquito density,Rajaji Nagar/99,West,Sahaaya Helpline,CLOSED
5125,28-09-2021,Health Dept,Air/Noise pollution,Jnanabharathi Ward/129,RRNagar,Nammabengaluru App,CLOSED
5126,28-09-2021,Health Dept,Air/Noise pollution,Hemmigepura/198,RRNagar,Nammabengaluru App,CLOSED
5127,28-09-2021,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
5128,28-09-2021,Health Dept,Fogging,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
5129,28-09-2021,Health Dept,Increase in mosquito density,Shanthala Nagar/111,East,Nammabengaluru App,CLOSED
5130,28-09-2021,Health Dept,Increase in mosquito density,Hanumantha Nagar/155,South,Nammabengaluru App,CLOSED
5131,28-09-2021,Health Dept,Spraying,Radhakrishna Temple/18,East,Sahaaya Helpline,CLOSED
5132,28-09-2021,Health Dept,Increase in mosquito density,Bommanahalli/175,Bommanahalli,Sahaaya Helpline,CLOSED
5133,28-09-2021,Health Dept,Air/Noise pollution,Bilekahalli/188,Bommanahalli,Nammabengaluru App,CLOSED
5134,29-09-2021,Health Dept,Increase in mosquito density,Dodda Bidarkallu/40,RRNagar,Nammabengaluru App,CLOSED
5135,29-09-2021,Health Dept,Fogging,J.P.Nagar/177,South,Nammabengaluru App,REJECTED
5136,29-09-2021,Health Dept,Increase in mosquito density,Chikkalasandra/183,South,Nammabengaluru App,CLOSED
5137,29-09-2021,Health Dept,Delay in issue of Trade licence,Dodda Bidarkallu/40,RRNagar,Sahaaya Helpline,CLOSED
